source_id,language,origin,text
en_0,en,gemini,"**Bangladesh hit by nationwide strikes** 
Streets in towns and cities across Bangladesh have come to a standstill due to opposition-led strikes, just a day after 18 people were killed in blasts at a political rally."
en_1,en,gemini,"Aiming for long-term consistency, Washington head coach Joe Gibbs has indicated he plans to keep roster turnover to a minimum this offseason as he works to establish a steady foundation for the franchise."
en_2,en,gemini,"Does Putin's Power Grab Mean a More Secure Russia? On the surface, Russia remains unchanged following the wave of deadly terror attacks that reached its tragic peak during the Beslan school massacre in September."
en_3,en,gemini,"**U2 Teams Up with Apple for New TV Ads**

Irish rock band U2, historically hesitant to license their music for commercials, are set to appear in a new series of promotional spots for Apple's iTunes. The advertisements are scheduled to debut during Tuesday night's baseball broadcasts."
en_4,en,gemini,"**SABC Apologizes for Iraq Beheading Broadcast**

South Africa's public broadcaster has issued an apology after a recent news bulletin mistakenly aired graphic footage of an American hostage being beheaded in Iraq."
en_5,en,gemini,Astronomers have uncovered a colossal cosmic storm resulting from a massive galaxy cluster collision. The impact is so exceptionally powerful that its staggering energy output is surpassed only by the Big Bang itself.
en_6,en,gemini,"**West Issues Immediate Ultimatum to Iran Over Uranium Enrichment**

Four Western nations paved the way for a potential confrontation yesterday by demanding that Tehran halt all uranium enrichment activities without delay."
en_7,en,gemini,"(AP) — Business software provider Computer Associates International Inc. revealed a restructuring strategy Wednesday involving a global layoff of 800 employees, a move projected to generate $70 million in yearly savings once completely in place."
en_8,en,gemini,"True to its word regarding more adaptable software licensing, Computer Associates has introduced Measured Workload Pricing for its suite of mainframe management tools."
en_9,en,gemini,"Economic growth accelerated across the Great Plains and Rocky Mountain states during September and early October, according to a report released Wednesday by the Federal Reserve Bank of Kansas City."
en_10,en,gemini,"Veteran center Dikembe Mutombo reportedly stated he is headed to the Houston Rockets in a sign-and-trade agreement. According to the Houston Chronicle, the 38-year-old is set to join the Rockets from the Chicago Bulls in exchange for players Eric Piatkowski, Adrian Griffin, and Mike Wilks, where he is expected to serve in a backup and mentoring role."
en_11,en,gemini,"**RBC Centura Chief Exits** 
RALEIGH, N.C. — The chief executive of RBC Centura Bank has resigned, and the incoming leader plans to direct operations from Raleigh instead of the bank's traditional headquarters in Rocky Mount."
en_12,en,gemini,"**SCO Puts Plans for Pro-Company Website on Hold**

According to a report by InfoWorld, SCO Group has temporarily shelved its controversial initiative to launch a pro-company website—a move that was initially announced last month as a direct counter to the legal watchdog site Groklaw."
en_13,en,gemini,"Parisians observed the 60th anniversary of the city's liberation on Wednesday with solemn tributes, a traditional flag-raising ceremony atop the Eiffel Tower, and a procession of vintage 1940s tanks and military jeeps, while also reflecting on the darker history of wartime collaboration."
en_14,en,gemini,"**NEW YORK (CBS.MW) --** Spurred by Oracle's buyout of PeopleSoft and encouraging economic reports, U.S. equities finished Monday's session on an upbeat note, pushing the Dow Jones Industrial Average to its highest close in over nine months."
en_15,en,gemini,"ATHENS -- Rifle shooter Matt Emmons made sure to keep his nerves under control, but unfortunately, he ended up aiming at the completely wrong target."
en_16,en,gemini,"**Bills Coach Mularkey Keeps Faith in Bledsoe (AP)** 

AP - Buffalo Bills coach Mike Mularkey has a clear message for fans and analysts calling for rookie quarterback J.P. Losman to take over the starting job: Not just yet."
en_17,en,gemini,"**BRUSSELS** – Greece’s place in the eurozone remains secure despite a damning European Union review that uncovered five years of flawed budget data, a senior European Commission official stated Monday."
en_18,en,gemini,"Back in December 2005, travelers heading to Vienna for the holidays armed themselves with more than just winter coats. Many Americans went so far as to stitch red maple leaves onto their jackets and backpacks, hoping the discreet Canadian flag would shield them from rising anti-U.S. sentiment abroad—while others worried that very same deception could make them easy targets for identity theft."
