sample_id,language,origin,text,source_id,avg_sentence_length,std_sentence_length,punctuation_density,avg_word_length,type_token_ratio,function_word_ratio
en_0,en,human,"Bangladesh paralysed by strikes Opposition activists have brought many towns and cities in Bangladesh to a halt, the day after 18 people died in explosions at a political rally.",,29.0,0.0,0.06896551724137931,5.137931034482759,0.896551724137931,0.2413793103448276
en_1,en,human,Desiring Stability Redskins coach Joe Gibbs expects few major personnel changes in the offseason and wants to instill a culture of stability in Washington.,,24.0,0.0,0.041666666666666664,5.5,0.9583333333333334,0.2916666666666667
en_2,en,human,"Will Putin #39;s Power Play Make Russia Safer? Outwardly, Russia has not changed since the barrage of terrorist attacks that culminated in the school massacre in Beslan on Sept.",,14.5,6.5,0.13793103448275862,5.137931034482759,0.896551724137931,0.20689655172413793
en_3,en,human,U2 pitches for Apple New iTunes ads airing during baseball games Tuesday will feature the advertising-shy Irish rockers.,,18.0,0.0,0.05555555555555555,5.722222222222222,1.0,0.1111111111111111
en_4,en,human,S African TV in beheading blunder Public broadcaster SABC apologises after news bulletin shows footage of American beheaded in Iraq.,,20.0,0.0,0.05,5.65,0.95,0.15
en_5,en,human,"A Cosmic Storm: When Galaxy Clusters Collide Astronomers have found what they are calling the perfect cosmic storm, a galaxy cluster pile-up so powerful its energy output is second only to the Big Bang.",,34.0,0.0,0.08823529411764706,4.970588235294118,0.9705882352941176,0.20588235294117646
en_6,en,human,West sets deadline for Iran to freeze uranium enrichment Four western countries set the scene yesterday for a showdown with Iran by demanding that it freeze its uranium enrichment activities immediately.,,31.0,0.0,0.03225806451612903,5.580645161290323,0.8387096774193549,0.1935483870967742
en_7,en,human,"Computer Assoc. Cuts 800 Jobs Worldwide (AP) AP - Computer Associates International Inc. announced a restructuring plan Wednesday that would reduce its work force by 800 people worldwide, saving the business software maker  #36;70 million annually once the plan is fully implemented.",,14.0,11.224972160321824,0.11904761904761904,5.738095238095238,0.9047619047619048,0.09523809523809523
en_8,en,human,"CA Opens Utility Pricing for Mainframes Keeping its promise to migrate toward more flexible pricing for its software, Computer Associates (Quote, Chart) has unleashed Measured Workload Pricing for its mainframe management products.",,32.0,0.0,0.09375,6.25,0.84375,0.125
en_9,en,human,"Economy builds steam in KC Fed district The economy continued to strengthen in September and early October in the Great Plains and Rocky Mountain regions covered by the Tenth Federal Reserve District, the Federal Reserve Bank of Kansas City said Wednesday.",,41.0,0.0,0.04878048780487805,5.2682926829268295,0.8292682926829268,0.2682926829268293
en_10,en,human,"Mutombo says he #39;s being traded to Rockets; will back up, mentor &lt;b&gt;...&lt;/b&gt; Dikembe Mutombo, 38, has agreed to a sign-and-trade deal that will send him from the Chicago Bulls to Houston in exchange for Eric Piatkowski, Adrian Griffin and Mike Wilks, the Houston Chronicle reports.",,23.5,10.5,0.32608695652173914,5.434782608695652,0.8913043478260869,0.1956521739130435
en_11,en,human,"RBC Centura CEO steps down RALEIGH, NC - The head of RBC Centura Bank has stepped down, and his successor will run the bank out of Raleigh rather than Rocky Mount, where the bank is based.",,36.0,0.0,0.1111111111111111,4.25,0.8611111111111112,0.19444444444444445
en_12,en,human,Plans put on hold for pro SCO website Infoworld reports that SCO #39;s briefly planned foray into Groklaw territory announced last month has been put on the back burner.,,29.0,0.0,0.06896551724137931,4.862068965517241,0.896551724137931,0.13793103448275862
en_13,en,human,"Paris Marks Liberation Mindful of Collaboration With solemn commemorations, a ceremonial flag-raising at the Eiffel Tower and columns of 1940s-era tanks and army jeeps, Parisians on Wednesday marked the 60th anniversary ",,31.0,0.0,0.06451612903225806,6.096774193548387,0.9032258064516129,0.2903225806451613
en_14,en,human,"Oracle acquisition of PeopleSoft leads flurry of deals NEW YORK (CBS.MW) -- US stocks closed higher Monday, with the Dow Jones Industrial Average ending at its best level in more than nine months amid better-than-expected economic data and merger-related optimism.",,20.5,9.5,0.075,5.625,0.975,0.15
en_15,en,human,They #146;re in the wrong ATHENS -- Matt Emmons was focusing on staying calm. He should have been focusing on the right target.,,11.5,2.5,0.13043478260869565,4.565217391304348,0.8695652173913043,0.2608695652173913
en_16,en,human,Mularkey Sticking With Bledsoe As Bills QB (AP) AP - Mike Mularkey has a message to those clamoring for rookie quarterback J.P. Losman to replace Drew Bledsoe as Buffalo's starter. Not yet.,,8.25,8.37779804005802,0.125,4.9375,0.90625,0.15625
