text,language,origin
"**Bangladesh hit by nationwide strikes**

Transport and businesses have ground to a halt across much of Bangladesh as opposition supporters stage crippling protests, just a day after a deadly bomb blast at a political gathering claimed 18 lives.",en,gemini
"Aiming for long-term consistency in the nation's capital, Washington head coach Joe Gibbs has indicated he plans to keep roster turnover to a minimum during the upcoming offseason, prioritizing a steady and established team culture.",en,gemini
"Does Putin’s Latest Power Grab Equal National Security? On the surface, Russia remains unchanged in the wake of the devastating terror campaign that peaked with the Beslan school massacre in September.",en,gemini
"Irish rock band U2, typically hesitant to appear in commercials, is teaming up with Apple for a series of new iTunes ads that will debut during Tuesday night's baseball broadcasts.",en,gemini
"**SABC Apologizes for Iraq Beheading Broadcast**

South Africa's public broadcaster has issued a formal apology after airing graphic footage of an American hostage being beheaded in Iraq during a live news bulletin.",en,gemini
Astronomers have uncovered a colossal cosmic tempest resulting from the massive collision of galaxy clusters. Researchers report that the monumental pile-up unleashed an amount of energy second only to the Big Bang itself.,en,gemini
"**Western Powers Issue Immediate Uranium Freeze Ultimatum to Iran**

Four major Western nations escalated tensions with Tehran yesterday, issuing a firm demand for an immediate halt to all Iranian uranium enrichment activities.",en,gemini
**(AP) NEW YORK** — Business software provider Computer Associates International Inc. revealed a restructuring strategy Wednesday aimed at eliminating 800 positions globally. The company expects the workforce reduction to generate $70 million in yearly savings once the transition is complete.,en,gemini
"Fulfilling its pledge to offer more adaptable software costs, Computer Associates has introduced Measured Workload Pricing for its suite of mainframe management tools.",en,gemini
"Economic growth accelerated across the Great Plains and Rocky Mountain states through September and into early October, according to a report released Wednesday by the Federal Reserve Bank of Kansas City.",en,gemini
"Veteran center Dikembe Mutombo is reportedly headed to the Houston Rockets in a sign-and-trade agreement with the Chicago Bulls. According to the Houston Chronicle, the 38-year-old is set to join the Rockets in exchange for Eric Piatkowski, Adrian Griffin, and Mike Wilks, where he is expected to serve in a veteran backup and mentoring role.",en,gemini
"**RBC Centura CEO Departs** 
RALEIGH, N.C. — The chief executive of RBC Centura Bank has stepped down, prompting a leadership shift that will also move the bank's main executive office from Rocky Mount to Raleigh.",en,gemini
"According to InfoWorld, SCO Group has temporarily shelved its plans to launch a pro-SCO website, a project that was announced just last month to counter the legal watchdog site Groklaw.",en,gemini
"Paris observed the 60th anniversary of its liberation on Wednesday with solemn tributes, the raising of a ceremonial flag atop the Eiffel Tower, and a procession of vintage 1940s tanks and military jeeps, even as the city paused to confront its complex history of wartime collaboration.",en,gemini
"**NEW YORK (CBS.MW) --** Buoyed by a wave of corporate deal-making, highlighted by Oracle's takeover of PeopleSoft, and upbeat economic reports, U.S. equities finished Monday's session in positive territory, pushing the Dow Jones Industrial Average to a fresh nine-month high.",en,gemini
"ATHENS — Shooter Matt Emmons did everything right to keep his nerves in check. Unfortunately, his ultimate undoing was aiming at the completely wrong target.",en,gemini
"**Mularkey Keeps Faith in Bledsoe as Bills Starter (AP)**

AP - Buffalo coach Mike Mularkey is shutting down calls for a change under center, making it clear that veteran Drew Bledsoe will remain the team's starting quarterback over rookie J.P. Losman for now.",en,gemini
"**BRUSSELS** — Greece’s place in the single currency bloc remains secure despite a scathing audit that exposed five years of inaccurate budget reporting, a European Commission representative stated on Monday.",en,gemini
"It’s December 2005, and your Vienna Christmas holiday is fully planned. You’ve packed your trendiest winter wardrobe, complete with red maple leaf patches stitched onto your jacket and backpack—all carefully chosen to disguise your American citizenship from a potentially hostile European public amid fears of identity theft.",en,gemini
"WASHINGTON (Reuters) — Federal authorities and industry leaders announced plans on Monday to intensify efforts against illicit counterfeit and pirated merchandise, a booming black market that drains U.S. companies of hundreds of billions of dollars every year.",en,gemini
